Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
42,0.51517,42.06375,0.0,0.0,1.0,3.386,11.29582,0,0,121,55.88252,0.00028,0.0,1.059,-1.0,1.0,191.65239431396935
43,0.517,42.01985,0.0,0.0,0.4,3.408,11.14948,0,0,122,55.85755,0.00017,0.3328,1.167,-1.0,1.0,191.72886793200024
44,0.50928,42.01385,0.0,0.0,0.1,3.385,10.90177,0,0,121,55.85964,0.00024,0.0,1.151,-1.0,1.0,191.70871670336345
45,0.52375,42.31079,0.0,0.0,0.9,3.397,11.25265,0,0,121,55.83695,0.00024,0.0,1.126,-1.0,1.0,191.8163159887937
46,0.52105,42.32116,0.0,0.0,0.0,3.402,11.08972,0,0,121,55.84029,0.00026,0.0,1.136,-1.0,1.0,191.69906474378632
47,0.52196,42.34238,0.0,0.0,0.8,3.344,10.82535,0,0,121,55.86467,0.00024,0.3301,1.146,-1.0,1.0,191.57787869673933
48,0.52202,42.62971,0.0,0.0,0.9,3.427,11.38129,0,0,122,55.85374,0.00038,0.0,1.164,0.77836,1.0,191.62925508002772
49,0.52403,42.33709,0.0,0.0,0.4,3.487,11.50911,0,0,122,55.86898,0.00026,0.3261,1.151,-1.0,1.0,192.08659530664255
50,0.51712,42.35601,0.0,0.0,1.0,3.507,11.56249,0,0,122,55.86233,0.00017,0.3313,1.134,-1.0,1.0,191.8064567431236
51,0.53466,42.37562,0.0,0.0,0.6,3.496,11.13355,0,0,122,55.88398,0.00026,0.0,1.089,-1.0,1.0,191.83595646655104
52,0.51778,42.30794,0.0,0.0,0.6,3.512,11.64449,0,0,121,55.87615,0.00019,0.0,1.28,-1.0,1.0,191.66607250802156
53,0.51143,42.35346,0.0,0.0,0.4,3.532,11.6909,0,0,121,55.86421,0.00023,0.0,1.207,-1.0,1.0,191.74559336494588
54,0.5181,42.45494,0.0,0.0,0.0,3.542,11.71483,0,0,121,55.89679,0.00017,0.0,1.261,-1.0,1.0,191.87535921808535
55,0.52935,42.54704,0.0,0.0,1.3,3.548,11.2845,0,0,122,55.91674,0.00019,0.0,1.298,-1.0,1.0,191.53511435014877
56,0.51397,42.34734,0.0,0.0,0.6,3.576,11.74613,0,0,121,55.92491,0.00023,0.0,1.322,0.78472,1.0,191.66937265763875
57,0.51911,42.36654,0.0,0.0,0.7,3.55,11.71319,0,0,121,55.93069,0.00031,0.0,1.247,-1.0,1.0,191.8306849697655
58,0.52286,42.29766,0.0,0.0,0.6,3.522,11.71185,0,0,121,55.94903,0.00038,0.0,1.158,-1.0,1.0,191.74983429889562
59,0.53107,42.21315,0.0,0.0,0.2,3.601,11.19214,0,0,121,55.91783,0.00028,0.0,1.161,-1.0,1.0,191.74819004513216
60,0.5212,42.28035,0.0,0.0,0.3,3.624,11.59822,0,0,121,55.93453,0.00023,0.0,1.158,-1.0,1.0,191.65651259697455
61,0.51486,42.33116,0.0,0.0,0.4,3.617,12.12298,0,0,121,55.92417,0.00033,0.0,1.125,-1.0,1.0,191.8527109789818
62,0.51307,42.38304,0.0,0.0,0.7,3.614,11.58506,0,0,121,55.91898,0.00033,0.0,1.139,-1.0,1.0,191.80293479562175
