Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
40,0.87943,16.58964,0.0,0.0,1.1,8.506233,7.94471,0,0,118.327515,48.55627,0.0,0.0,1.02,0.48611,0.0,192.99800631869073
41,0.88518,16.5778,0.0,0.0,0.9,8.506233,8.39801,0,0,118.327515,48.55627,0.0,0.0,1.005,-1.0,0.0,192.99584022781823
42,0.87242,16.60864,0.0,0.0,0.2,8.506233,8.35078,0,0,118.327515,48.55627,0.0,0.0,1.014,-1.0,0.0,193.0291808329372
43,0.88967,16.57369,0.0,0.0,0.2,8.506233,8.33456,0,0,118.327515,48.55627,0.0,0.0,1.009,-1.0,0.0,193.00814766682504
44,0.88566,16.61216,0.0,0.0,0.3,8.506233,7.88426,0,0,118.327515,48.55627,0.0,0.0,1.013,-1.0,0.0,192.95472523880588
45,0.89486,16.57868,0.0,0.0,0.2,8.506233,8.3619,0,0,118.327515,48.55627,0.0,0.0,1.004,-1.0,0.0,192.9760178599311
46,0.86659,16.60733,0.0,0.0,1.0,8.506233,8.14807,0,0,118.327515,48.55627,0.0,0.0,1.005,-1.0,0.0,192.9885997709925
47,0.89225,16.60621,0.0,0.0,0.1,8.506233,7.86252,0,0,118.327515,48.55627,0.0,0.0,0.992,-1.0,0.0,193.0138910470955
48,0.87942,16.64001,0.0,0.0,0.1,8.506233,8.38023,0,0,118.327515,48.55627,0.0,0.0,0.991,0.48003,0.0,193.05137254112253
49,0.87852,16.63004,0.0,0.0,0.4,8.506233,8.44938,0,0,118.327515,48.55627,2e-05,0.0,1.002,-1.0,0.0,193.11221973349558
50,0.85668,16.63088,0.0,0.0,0.4,8.506233,8.47784,0,0,118.327515,48.55627,0.0,0.0,1.046,-1.0,0.0,193.10103349419143
51,0.88692,16.65891,0.0,0.0,0.1,8.506233,8.07345,0,0,118.327515,48.55627,0.0,0.0,1.063,-1.0,0.0,193.10757825848586
52,0.87404,16.66166,0.0,0.0,0.2,8.506233,8.60711,0,0,118.327515,48.55627,0.0,0.0,1.113,-1.0,0.0,193.1247694863589
53,0.87147,16.64735,0.0,0.0,0.6,8.506233,8.64064,0,0,118.327515,48.55627,0.0,0.0,1.181,-1.0,0.0,193.1061067056466
54,0.84868,16.67619,0.0,0.0,1.1,8.506233,8.60458,0,0,118.327515,48.55627,0.0,0.0,1.114,-1.0,0.0,193.11571170593294
55,0.89476,16.6846,0.0,0.0,0.2,8.506233,8.20379,0,0,118.327515,48.55627,0.0,0.0,1.041,-1.0,0.0,193.10005530419448
56,0.87218,16.69516,0.0,0.0,0.3,8.506233,8.67175,0,0,118.327515,48.55627,0.0,0.0,1.012,0.48698,0.0,193.13242511108632
57,0.87532,16.70568,0.0,0.0,0.3,8.506233,8.68497,0,0,118.327515,48.55627,0.0,0.0,1.006,-1.0,0.0,193.1239299061424
58,0.831,16.68458,0.0,0.0,0.7,8.506233,8.70396,0,0,118.327515,48.55627,0.0,0.0,0.98,-1.0,0.0,193.1823102115991
59,0.89493,16.68345,0.0,0.0,0.9,8.506233,8.25805,0,0,118.327515,48.55627,2e-05,0.0,0.98,-1.0,0.0,193.16230585685207
60,0.89805,16.67737,0.0,0.0,0.5,8.506233,8.58295,0,0,118.327515,48.55627,0.0,0.0,0.966,-1.0,0.0,193.18531211547304
61,0.88774,16.76098,0.0,0.0,0.6,8.506233,9.00571,0,0,118.327515,48.55627,0.0,0.0,0.974,-1.0,0.0,193.08915377309035
62,0.82562,16.78528,0.0,0.0,1.0,8.506233,8.53493,0,0,118.327515,48.55627,0.0,0.0,1.015,-1.0,0.0,193.0464609304605
63,0.86477,16.73034,0.0,0.0,0.9,8.506233,9.0798,0,0,118.327515,48.55627,0.0,0.0,1.055,-1.0,0.0,192.97327416950168
64,0.87998,16.76936,0.0,0.0,1.6,8.506233,9.07775,0,0,118.327515,48.55627,0.0,0.0,1.071,0.47801,0.0,192.9453897597221
65,0.87741,16.84413,0.0,0.0,1.3,8.506233,9.10528,0,0,118.327515,48.55627,0.0,0.0,1.076,-1.0,0.0,192.87148751237578
66,0.8227,16.89449,0.0,0.0,2.2,8.506233,8.72175,0,0,118.327515,48.55627,0.0,0.0,1.12,-1.0,0.0,192.8683301715804
67,0.88634,16.85745,0.0,0.0,1.6,8.506233,9.26679,0,0,118.327515,48.55627,0.0,0.0,1.179,-1.0,0.0,192.793283465345
68,0.89569,16.92708,0.0,0.0,3.3,8.506233,9.25969,0,0,118.327515,48.55627,2e-05,0.0,1.135,-1.0,0.0,192.7991421788821
69,0.89664,16.93649,0.0,0.0,1.9,8.506233,9.3162,0,0,118.327515,48.55627,0.0,0.0,1.091,-1.0,0.0,192.78408172733975
70,0.82263,16.98722,0.0,0.0,2.2,8.506233,8.86211,0,0,118.327515,48.55627,0.0,0.0,1.099,-1.0,0.0,192.8064618140426
71,0.87786,16.97087,0.0,0.0,2.2,8.506233,9.35366,0,0,118.327515,48.55627,0.0,0.0,1.168,-1.0,0.0,192.66810466188497
72,0.88089,17.05681,0.0,0.0,2.4,8.506233,9.41766,0,0,118.327515,48.55627,0.0,0.0,1.196,0.47772,0.0,192.6163032978357
73,0.8735,17.11851,0.0,0.0,1.6,8.506233,9.48364,0,0,118.327515,48.55627,2e-05,0.0,1.271,-1.0,0.0,192.46182689837394
74,0.8127,17.19446,0.0,0.0,4.4,8.506233,8.99657,0,0,118.327515,47.72828,0.0,0.0,1.253,-1.0,0.0,192.42762846170672
75,0.86939,17.20569,0.0,0.0,2.0,8.506233,9.56096,0,0,118.327515,47.72828,0.0,0.0,1.267,-1.0,0.0,192.34338295581216
76,0.88739,17.18655,0.0,0.0,2.4,8.506233,9.5861,0,0,118.327515,47.72828,0.0,0.0,1.205,-1.0,0.0,192.36308836582958
77,0.85765,17.18686,0.0,0.0,1.8,8.506233,9.08127,0,0,119.23682,48.55627,0.0,0.0,1.161,-1.0,0.0,192.3535442568825
78,0.8148,17.17412,0.0,0.0,2.4,8.506233,9.67504,0,0,118.327515,48.55627,0.0,0.0,1.12,-1.0,0.0,192.4868967843178
79,0.89138,17.07177,0.0,0.0,1.7,8.506233,9.67332,0,0,118.327515,48.55627,0.0,0.0,1.09,-1.0,0.0,192.5397044444132
80,0.90077,17.0899,0.0,0.0,1.9,8.506233,9.69605,0,0,118.327515,48.55627,0.0,0.0,1.084,0.48119,0.0,192.60440466561778
81,0.86404,17.06387,0.0,0.0,2.8,8.506233,9.23168,0,0,118.327515,48.55627,0.0,0.0,1.037,-1.0,0.0,192.59651847107563
82,0.80642,17.08795,0.0,0.0,2.1,8.506233,9.72237,0,0,118.327515,48.55627,0.0,0.0,1.02,-1.0,0.0,192.63275414232112
83,0.88733,17.07534,0.0,0.0,1.3,8.506233,9.74458,0,0,118.327515,48.55627,3e-05,0.0,1.058,-1.0,0.0,192.55380469434076
84,0.90263,17.08592,0.0,0.0,0.9,8.506233,9.76951,0,0,118.327515,48.55627,0.0,0.0,1.038,-1.0,0.0,192.5738529387969
85,0.87006,17.11125,0.0,0.0,2.2,8.506233,9.25594,0,0,118.327515,48.55627,0.0,0.0,1.029,-1.0,0.0,192.54243168376274
86,0.80578,17.14352,0.0,0.0,3.2,8.506233,9.81761,0,0,118.327515,48.55627,0.0,0.0,1.028,-1.0,0.0,192.631512214191
87,0.87143,17.13368,0.0,0.0,3.4,8.506233,9.83834,0,0,118.327515,48.55627,0.0,0.0,1.026,-1.0,0.0,192.60485465741203
88,0.90624,17.1453,0.0,0.0,1.1,8.506233,9.84974,0,0,118.327515,48.55627,0.0,0.0,1.027,0.48119,0.0,192.64602431033285
89,0.86674,17.17793,0.0,0.0,2.2,8.506233,9.37356,0,0,118.327515,48.55627,0.0,0.0,1.028,-1.0,0.0,192.61134195617376
90,0.8029,17.2225,0.0,0.0,3.2,8.506233,9.95185,0,0,118.327515,48.55627,0.0,0.0,1.024,-1.0,0.0,192.68236703754033
91,0.86165,17.19455,0.0,0.0,3.2,8.506233,9.95646,0,0,118.327515,48.55627,0.0,0.0,1.024,-1.0,0.0,192.63995508965942
92,0.83194,17.25004,0.0,0.0,3.7,8.506233,9.45728,0,0,118.327515,48.55627,0.0,0.0,1.023,-1.0,0.0,192.72270892025148
93,0.86043,17.26637,0.0,0.0,3.6,8.506233,10.08017,0,0,118.327515,48.55627,0.0,0.0,1.026,-1.0,0.0,192.93559707750157
94,0.79439,17.29079,0.0,0.0,2.0,8.506233,10.09529,0,0,118.327515,48.55627,0.0,0.0,1.04,-1.0,0.0,193.26609811056903
95,0.88655,17.25635,0.0,0.0,1.7,8.506233,10.12181,0,0,118.327515,48.55627,0.0,0.0,1.025,-1.0,0.0,193.60006823468825
96,0.86424,17.29636,0.0,0.0,2.1,8.506233,9.56824,0,0,118.327515,47.72828,0.0,0.0,1.1,0.48872,0.0,193.96974259617642
97,0.8969,17.29719,0.0,0.0,2.8,8.506233,10.19959,0,0,118.327515,47.72828,0.0,0.0,1.275,-1.0,0.0,194.5005051441065
98,0.7815,17.31139,0.0,0.0,2.2,8.506233,10.20306,0,0,118.327515,47.72828,0.0,0.0,1.291,-1.0,0.0,195.27803090895043
99,0.8964,17.29236,0.0,0.0,2.0,8.506233,10.27857,0,0,118.327515,47.72828,0.0,0.0,1.142,-1.0,0.0,195.65615418133896
100,0.79958,17.34429,0.0,0.0,1.6,8.506233,10.59154,0,0,118.327515,47.72828,0.0,0.0,1.07,-1.0,0.0,195.77677407399432
101,0.86735,17.39447,0.0,0.0,2.4,8.506233,11.2264,0,0,118.327515,47.72828,0.0,0.0,1.093,-1.0,0.0,195.69991394965052
102,0.76677,17.464,0.0,0.0,2.2,8.506233,11.40047,0,0,118.327515,48.053528,0.0,0.0,1.076,-1.0,0.0,195.5129309489183
103,0.8535,17.49079,0.0,0.0,1.9,8.506233,11.56947,0,0,118.327515,47.647934,0.0,0.0,1.116,-1.0,0.0,195.41700163936704
104,0.82639,17.55333,0.0,0.0,1.6,8.506233,10.90565,0,0,118.327515,47.647934,3e-05,0.0,1.145,0.47569,0.0,194.69662969570302
105,0.88336,17.50033,0.0,0.0,1.9,8.506233,12.00083,0,0,118.327515,48.48905,0.0,0.0,1.122,-1.0,0.0,194.03283186862987
106,0.77919,17.55176,0.0,0.0,1.2,8.506233,11.77237,0,0,118.327515,47.647934,2e-05,0.0,1.14,-1.0,0.0,194.80843400500981
107,0.88705,17.55488,0.0,0.0,1.9,8.506233,10.70335,0,0,118.327515,47.647934,0.0,0.0,1.119,-1.0,0.0,195.29253475796153
108,0.89287,17.5276,0.0,0.0,1.9,8.506233,11.37348,0,0,118.327515,48.053528,0.0,0.0,1.075,-1.0,0.0,195.38358256210608
109,0.89381,17.45983,0.0,0.0,2.1,8.506233,11.13339,0,0,118.327515,47.72828,0.0,0.0,1.082,-1.0,0.0,195.4019670593133
110,0.82012,17.43974,0.0,0.0,1.8,8.506233,11.09249,0,0,118.327515,47.72828,0.0,0.0,1.086,-1.0,0.0,195.3603348019903
111,0.89978,17.40171,0.0,0.0,2.4,8.506233,10.6071,0,0,118.327515,47.72828,2e-05,0.0,1.107,-1.0,0.0,195.23642696618202
112,0.89578,17.46241,0.0,0.0,1.5,8.506233,10.50292,0,0,118.327515,47.72828,0.0,0.0,1.238,0.48785,0.0,194.80857070631544
113,0.86592,17.48778,0.0,0.0,1.8,8.506233,10.47118,0,0,118.327515,47.72828,0.0,0.0,1.25,-1.0,0.0,193.93733267104562
114,0.92396,17.48034,0.0,0.0,2.1,8.506233,10.4833,0,0,118.327515,47.72828,0.0,0.0,1.097,-1.0,0.0,193.30237472740032
115,0.9325,17.52808,0.0,0.0,1.8,8.506233,9.92255,0,0,118.327515,47.72828,0.0,0.0,1.019,-1.0,0.0,193.04519156857097
116,0.93641,17.45368,0.0,0.0,2.8,8.506233,10.26642,0,0,118.327515,48.55627,0.0,0.0,1.035,-1.0,0.0,192.7328372238436
117,0.89086,17.37249,0.0,0.0,2.4,8.506233,10.14367,0,0,115.48881,48.55627,0.0,0.0,1.023,-1.0,0.0,192.66540514600968
118,0.93288,17.32109,0.0,0.0,2.6,8.506233,10.09669,0,0,120.02254,48.55627,0.0,0.0,1.021,-1.0,0.0,192.44533092713175
119,0.92477,17.33056,0.0,0.0,2.6,8.506233,9.60224,0,0,119.23682,48.55627,0.0,0.0,1.023,-1.0,0.0,192.12734022503008
120,0.92216,17.33929,0.0,0.0,3.1,8.506233,10.10548,0,0,120.02254,48.55627,0.0,0.0,1.016,0.5735,0.0,192.21858364756287
121,0.93422,17.42661,0.0,0.0,3.4,8.506233,10.21823,0,0,115.48881,48.55627,0.0,0.0,1.018,-1.0,0.0,191.8815773187373
122,0.9282,17.51492,0.0,0.0,2.6,8.506233,9.81939,0,0,119.23682,48.55627,3e-05,0.0,1.027,-1.0,0.0,191.80537055583687
123,0.93713,17.48788,0.0,0.0,3.5,8.506233,10.4566,0,0,118.327515,48.55627,0.0,0.0,1.029,-1.0,0.0,191.56202450660086
124,0.92699,17.46225,0.0,0.0,3.6,8.506233,10.47914,0,0,118.327515,48.55627,0.0,0.0,1.01,-1.0,0.0,191.65922568920627
125,0.95394,17.43679,0.0,0.0,2.0,8.506233,10.49326,0,0,118.327515,48.55627,0.0,0.0,1.025,-1.0,0.0,191.6303558853563
