Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
42,0.29878,46.64019,0.0,0.0,2.0,1.52,12.10365,0,0,121,55.86155,0.00085,0.0,1.041,-1.0,1.0,201.17233924130232
43,0.2989,46.83863,0.0,0.0,0.0,1.502,12.0738,0,0,121,55.8634,0.00085,0.0,1.033,-1.0,1.0,201.17795749030844
44,0.28284,46.61416,0.0,0.0,0.5,1.499,11.74701,0,0,121,55.84586,0.00085,0.0,1.04,-1.0,1.0,201.18425510415102
45,0.2987,46.94782,0.0,0.0,0.0,1.496,12.08178,0,0,121,55.84745,0.0009,0.0,1.039,-1.0,1.0,201.23158540309134
46,0.29157,46.77421,0.0,0.0,0.0,1.505,11.84652,0,0,121,55.84721,0.00089,0.0,1.04,-1.0,1.0,201.18868647641852
47,0.29577,46.97719,0.0,0.0,1.1,1.51,11.67067,0,0,121,55.86759,0.00097,0.0,1.033,-1.0,1.0,201.18773565146142
48,0.3027,46.84634,0.0,0.0,0.8,1.516,12.12719,0,0,121,55.86338,0.00089,0.0,1.027,0.35793,1.0,201.16068748561955
49,0.29607,46.81978,0.0,0.0,1.0,1.486,12.18854,0,0,121,55.87881,0.00116,0.0,1.036,-1.0,1.0,201.16750594651376
50,0.30235,46.80868,0.0,0.0,0.0,1.489,12.32415,0,0,121,55.87706,0.00082,0.0,1.052,-1.0,1.0,201.13068101177032
51,0.31061,46.99454,0.0,0.0,1.4,1.5,11.92441,0,0,121,55.88638,0.00128,0.0,1.075,-1.0,1.0,201.0996061479267
52,0.29901,46.86351,0.0,0.0,0.0,1.493,12.35887,0,0,121,55.88122,0.00097,0.0,1.105,-1.0,1.0,201.080191881593
53,0.30503,47.08007,0.0,0.0,1.1,1.49,12.43705,0,0,121,55.88896,0.00083,0.0,1.146,-1.0,1.0,201.03327950191354
54,0.3075,46.97892,0.0,0.0,2.7,1.483,12.49675,0,0,121,55.88858,0.00097,0.0,1.128,-1.0,1.0,201.00524547090026
55,0.31528,46.97112,0.0,0.0,0.0,1.506,12.01371,0,0,121,55.89423,0.00097,0.0,1.102,-1.0,1.0,200.96236445839696
56,0.30852,46.949,0.0,0.0,2.4,1.488,12.45816,0,0,121,55.89103,0.00102,0.0,1.072,0.34086,1.0,200.96243491385866
