Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
42,0.27937,37.81405,0.0,0.0,0.3,3.23,10.26047,0,0,122,55.57342,0.00038,0.0,1.045,-1.0,0.0,200.19375905353672
43,0.27768,37.57172,0.0,0.0,0.3,3.303,10.36807,0,0,122,55.56829,0.00035,0.0,1.045,-1.0,0.0,200.13962651699296
44,0.27583,37.41546,0.0,0.0,0.3,3.341,9.74016,0,0,121,55.57225,0.00042,0.0,1.045,-1.0,0.0,200.18696950989843
45,0.27433,37.58794,0.0,0.0,0.3,3.353,10.31011,0,0,122,55.56466,0.0003,0.0,1.045,-1.0,0.0,200.26502759033724
46,0.28106,37.85095,0.0,0.0,0.3,3.229,10.08419,0,0,121,55.55171,0.00026,0.0,1.045,-1.0,0.0,200.1973768813803
47,0.27936,37.50999,0.0,0.0,0.6,3.289,9.93869,0,0,121,55.56736,0.00035,0.0,1.04,-1.0,0.0,200.15531437405397
48,0.27494,37.67712,0.0,0.0,0.6,3.247,10.33044,0,0,121,55.58248,0.00035,0.0,1.034,0.40741,0.0,200.14977977015968
49,0.27906,37.63051,0.0,0.0,0.6,3.275,10.55423,0,0,121,55.58132,0.00035,0.0,1.041,-1.0,0.0,200.1814142808234
50,0.28218,37.1962,0.0,0.0,0.8,3.214,10.32302,0,0,121,55.5526,0.00026,0.0,1.058,-1.0,0.0,200.08508228338795
51,0.28152,37.18146,0.0,0.0,0.4,3.287,9.85341,0,0,121,55.57126,0.00031,0.0,1.049,-1.0,0.0,200.0593956930273
52,0.27382,37.27689,0.0,0.0,0.9,3.358,10.51997,0,0,121,55.59507,0.00026,0.0,1.052,-1.0,0.0,200.07011622867122
53,0.27979,37.0532,0.0,0.0,0.8,3.465,10.60064,0,0,121,55.57069,0.00028,0.0,1.132,-1.0,0.0,200.02336299854107
54,0.28346,37.58338,0.0,0.0,0.6,3.274,10.46835,0,0,121,55.5826,0.00028,0.0,1.117,-1.0,0.0,200.02079590807324
55,0.28393,37.65424,0.0,0.0,0.6,3.428,10.2998,0,0,121,55.58402,0.00036,0.0,1.083,-1.0,0.0,199.967435507309
56,0.28079,37.79408,0.0,0.0,0.6,3.334,10.8047,0,0,121,55.57862,0.00042,0.0,1.049,0.40133,0.0,199.9897721872877
57,0.2844,37.58078,0.0,0.0,0.6,3.373,10.77444,0,0,121,55.59605,0.00036,0.0,1.047,-1.0,0.0,199.98152140003504
58,0.28292,37.69849,0.0,0.0,0.6,3.282,10.83353,0,0,122,55.59314,0.0004,0.0,1.04,-1.0,0.0,199.91672969041517
59,0.28337,37.69912,0.0,0.0,1.9,3.337,10.23225,0,0,121,55.59343,0.0004,0.0,1.032,-1.0,0.0,199.91563287205832
60,0.28359,37.71485,0.0,0.0,0.9,3.312,10.60223,0,0,121,55.59245,0.00036,0.0,1.016,-1.0,0.0,199.87213390094806
61,0.28679,38.13701,0.0,0.0,1.4,3.206,11.0526,0,0,121,55.57295,0.00038,0.0,1.038,-1.0,0.0,199.8751291965013
62,0.28261,37.71788,0.0,0.0,0.9,3.327,10.66677,0,0,121,55.57877,0.00035,0.0,1.081,-1.0,0.0,199.98049461928113
63,0.29345,37.8233,0.0,0.0,0.7,3.297,11.24349,0,0,121,55.5682,0.0003,0.0,1.099,-1.0,0.0,199.98293141984044
64,0.29931,38.43472,0.0,0.0,1.9,3.164,11.43413,0,0,121,55.57807,0.00024,0.0,1.107,0.42043,0.0,200.11634167913914
65,0.29083,38.27822,0.0,0.0,1.5,3.189,11.38168,0,0,121,55.57316,0.00024,0.0,1.103,-1.0,0.0,200.16736651083093
66,0.28151,38.25833,0.0,0.0,1.7,3.274,10.85344,0,0,121,55.57458,0.0004,0.0,1.107,-1.0,0.0,199.36212415088823
67,0.28329,38.18993,0.0,0.0,3.3,3.216,11.4736,0,0,121,55.55534,0.00036,0.0,1.168,-1.0,0.0,199.27629421322263
68,0.28136,38.39822,0.0,0.0,1.8,3.262,11.47883,0,0,121,55.56447,0.00043,0.0,1.13,-1.0,0.0,199.3141092980269
69,0.29593,38.37987,0.0,0.0,2.5,3.131,11.59206,0,0,121,55.54881,0.0005,0.0,1.118,-1.0,0.0,199.39467529355665
70,0.2915,38.10911,0.0,0.0,3.8,3.274,11.24565,0,0,121,55.51248,0.00047,0.0,1.116,-1.0,0.0,199.45893390638733
71,0.28915,38.33903,0.0,0.0,1.2,3.229,11.75373,0,0,121,55.51525,0.00061,0.0,1.167,-1.0,0.0,199.45007442918973
72,0.28796,38.9435,0.0,0.0,2.3,3.102,11.86446,0,0,121,55.49127,0.00047,0.0,1.241,0.44821,0.0,199.62616352523222
73,0.28664,38.95462,0.0,0.0,1.0,3.133,11.78645,0,0,121,55.46629,0.00052,0.0,1.289,-1.0,0.0,199.69052301389524
74,0.28582,39.03834,0.0,0.0,2.1,3.066,11.3164,0,0,122,55.44019,0.0004,0.0,1.354,-1.0,0.0,199.61340133594146
75,0.29784,39.22089,0.0,0.0,1.0,3.044,11.89132,0,0,122,55.44222,0.00047,0.0,1.361,-1.0,0.0,199.60488217083275
76,0.29328,38.5627,0.0,0.0,1.2,3.213,11.76555,0,0,121,55.44563,0.00049,0.0,1.285,-1.0,0.0,199.60567338907353
77,0.29699,38.3815,0.0,0.0,1.2,3.27,11.31528,0,0,124,55.46186,0.00054,0.0,1.238,-1.0,0.0,199.68216581193758
78,0.30306,38.63524,0.0,0.0,2.6,3.156,11.9191,0,0,124,55.48869,0.00057,0.0,1.165,-1.0,0.0,199.7013086086531
79,0.29278,38.43912,0.0,0.0,2.5,3.279,11.89917,0,0,122,55.49865,0.00066,0.0,1.139,-1.0,0.0,199.69537985990524
80,0.30433,38.06601,0.0,0.0,1.6,3.308,12.07231,0,0,121,55.49824,0.00057,0.0,1.123,0.45312,0.0,199.6321330360995
81,0.29855,38.98298,0.0,0.0,2.1,3.116,11.56636,0,0,121,55.55362,0.00047,0.0,1.108,-1.0,0.0,199.53125340796166
82,0.2991,37.9334,0.0,0.0,1.6,3.434,12.11116,0,0,121,55.5359,0.00043,0.0,1.1,-1.0,0.0,199.46997462432049
83,0.30157,38.1618,0.0,0.0,1.5,3.532,12.04472,0,0,122,55.54276,0.00042,0.0,1.081,-1.0,0.0,199.40930925291207
84,0.29821,38.87258,0.0,0.0,1.6,3.158,12.18766,0,0,123,55.5628,0.00045,0.0,1.056,-1.0,0.0,199.45003786419431
85,0.29423,38.81083,0.0,0.0,1.6,3.296,11.86178,0,0,122,55.5586,0.0005,0.0,1.039,-1.0,0.0,199.47614986063203
86,0.29694,38.87271,0.0,0.0,1.1,3.373,12.46739,0,0,121,55.55598,0.00038,0.0,1.04,-1.0,0.0,199.30095446844524
87,0.30158,39.39458,0.0,0.0,2.5,3.362,12.61151,0,0,121,55.58369,0.00043,0.0,1.043,-1.0,0.0,199.15299525765647
88,0.30236,39.05692,0.0,0.0,1.6,3.382,12.57411,0,0,121,55.57723,0.0004,0.0,1.049,0.44126,0.0,199.13996440042683
89,0.30963,39.00828,0.0,0.0,1.7,3.303,11.91294,0,0,122,55.54534,0.00026,0.0,1.091,-1.0,0.0,199.03371207414318
90,0.31857,39.33965,0.0,0.0,1.9,3.188,12.39742,0,0,122,55.54652,0.00028,0.0,1.12,-1.0,0.0,199.09144443446706
91,0.30617,39.26516,0.0,0.0,1.8,3.196,12.46003,0,0,122,55.54281,0.00035,0.0,1.091,-1.0,0.0,199.26476819425224
92,0.30711,39.21951,0.0,0.0,1.2,3.168,12.04397,0,0,122,55.54149,0.00028,0.0,1.076,-1.0,0.0,199.37879545817867
93,0.31411,39.16597,0.0,0.0,1.6,3.11,12.60022,0,0,121,55.52677,0.00031,0.0,1.134,-1.0,0.0,199.7892964725425
94,0.30502,39.03525,0.0,0.0,1.8,3.143,12.57886,0,0,121,55.51207,0.00035,0.0,1.14,-1.0,0.0,200.57834020251352
95,0.3202,38.42871,0.0,0.0,1.5,3.348,12.6919,0,0,122,55.48098,0.00036,0.0,1.112,-1.0,0.0,201.1672016833376
96,0.31535,39.38657,0.0,0.0,2.4,3.215,12.29877,0,0,122,55.49331,0.00045,0.0,1.152,0.43345,0.0,201.66307660401844
97,0.31431,39.14055,0.0,0.0,1.9,3.191,12.94326,0,0,121,55.45529,0.0004,0.0,1.249,-1.0,0.0,202.2337106973216
98,0.326,38.82852,0.0,0.0,2.5,3.301,12.90822,0,0,121,55.40747,0.00033,0.0,1.205,-1.0,0.0,201.89338074778303
99,0.31495,38.97407,0.0,0.0,2.7,3.494,12.93265,0,0,122,55.31748,0.00033,0.0,1.182,-1.0,0.0,202.46015331703933
100,0.30157,39.10183,0.0,0.0,3.1,3.671,13.29512,0,0,122,55.02055,0.00038,0.0,1.119,-1.0,0.0,202.63894580753555
101,0.3375,39.38291,0.0,0.0,3.1,3.458,13.94756,0,0,122,54.69399,0.00033,0.0,1.153,-1.0,0.0,202.6210216407177
102,0.277,39.3931,0.0,0.0,2.6,3.449,14.2673,0,0,121,54.31743,0.00038,0.0,1.178,-1.0,0.0,206.68285221968188
103,0.29761,39.06398,0.0,0.0,1.3,3.4,14.49302,0,0,121,53.83658,0.00028,0.0,1.137,-1.0,0.0,207.21828781019167
104,0.25236,39.41671,0.0,0.0,2.3,3.219,13.78844,0,0,122,53.40992,0.00028,0.0,1.219,0.40191,0.0,207.75337805230674
105,0.28742,39.41306,0.0,0.0,2.3,3.309,14.66757,0,0,121,52.84862,0.0003,0.0,1.169,-1.0,0.0,208.34788712299422
106,0.25971,38.92926,0.0,0.0,1.9,3.722,14.40072,0,0,121,53.40031,0.0003,0.0,1.211,-1.0,0.0,207.82229072848128
107,0.29169,39.70692,0.0,0.0,3.1,3.253,13.46805,0,0,123,53.8415,0.00038,0.0,1.15,-1.0,0.0,207.23794323694142
108,0.29516,39.84499,0.0,0.0,1.6,3.287,14.24549,0,0,122,54.30816,0.00031,0.0,1.202,-1.0,0.0,206.66754915547705
109,0.29289,40.06594,0.0,0.0,2.0,3.141,13.78322,0,0,121,54.71586,0.00035,0.0,1.136,-1.0,0.0,206.08414221378382
110,0.30252,39.34457,0.0,0.0,2.9,3.432,13.8417,0,0,121,55.05103,0.00038,0.0,1.125,-1.0,0.0,205.40485023737563
111,0.29448,39.38596,0.0,0.0,2.1,3.39,13.34445,0,0,121,55.36462,0.0004,0.0,1.124,-1.0,0.0,204.92071651096214
112,0.31359,39.41356,0.0,0.0,3.2,3.532,13.35277,0,0,121,55.43145,0.00042,0.0,1.305,0.42969,0.0,203.9983124368796
113,0.30803,39.60349,0.0,0.0,3.4,3.564,13.36692,0,0,121,55.47515,0.0004,0.0,1.239,-1.0,0.0,203.06873373025317
114,0.31863,39.57686,0.0,0.0,3.2,3.578,13.38131,0,0,121,55.48971,0.00042,0.0,1.092,-1.0,0.0,202.18273406145136
115,0.3193,39.80747,0.0,0.0,1.6,3.538,12.7321,0,0,121,55.52323,0.00047,0.0,1.063,-1.0,0.0,201.71274561744903
116,0.32344,39.63386,0.0,0.0,2.8,3.555,13.24143,0,0,121,55.54876,0.00038,0.0,1.063,-1.0,0.0,201.14285426467393
117,0.30824,39.81694,0.0,0.0,1.5,3.52,13.04268,0,0,121,55.56943,0.00054,0.0,1.063,-1.0,0.0,200.59346559187577
118,0.32052,39.59253,0.0,0.0,0.6,3.561,13.06781,0,0,122,55.57644,0.00033,0.0,1.063,-1.0,0.0,200.3056812405126
119,0.3078,39.56517,0.0,0.0,2.0,3.557,12.41922,0,0,122,55.59069,0.00052,0.0,1.063,-1.0,0.0,199.95177082846814
120,0.30775,39.37167,0.0,0.0,1.1,3.58,12.9237,0,0,121,55.57589,0.00045,0.0,1.063,0.36256,0.0,199.89066453999027
121,0.31527,39.45134,0.0,0.0,0.6,3.568,12.99214,0,0,122,55.56081,0.00043,0.0,1.063,-1.0,0.0,199.9010478305993
122,0.31989,39.44317,0.0,0.0,2.0,3.558,12.42952,0,0,122,55.57066,0.00045,0.0,1.063,-1.0,0.0,199.84073194925608
123,0.31279,39.42485,0.0,0.0,0.6,3.601,13.36622,0,0,122,55.58018,0.00035,0.0,1.063,-1.0,0.0,199.88975863166354
124,0.31591,39.51696,0.0,0.0,1.4,3.494,13.4142,0,0,121,55.57453,0.00049,0.0,1.063,-1.0,0.0,199.87670133978855
125,0.3097,39.35631,0.0,0.0,1.1,3.523,13.49273,0,0,121,55.58323,0.00047,0.0,1.061,-1.0,0.0,199.90639224140227
126,0.32013,39.61662,0.0,0.0,2.3,3.513,12.72935,0,0,121,55.60334,0.00047,0.0,1.066,-1.0,0.0,199.88437900236147
127,0.30266,39.44555,0.0,0.0,0.8,3.518,13.5876,0,0,121,55.60273,0.00038,0.0,1.065,-1.0,0.0,199.91305000038838
128,0.30743,39.61565,0.0,0.0,1.8,3.454,13.53958,0,0,121,55.60389,0.00045,0.0,1.076,0.32697,0.0,199.90760133700797
129,0.29962,39.34665,0.0,0.0,1.3,3.506,13.62268,0,0,121,55.59923,0.00045,0.0,1.1,-1.0,0.0,199.92651722351786
130,0.307,39.39103,0.0,0.0,1.4,3.54,13.00523,0,0,121,55.56671,0.00045,0.0,1.122,-1.0,0.0,199.86608748317056
131,0.31206,39.79748,0.0,0.0,3.2,3.447,13.60306,0,0,121,55.54623,0.00047,0.0,1.16,-1.0,0.0,199.78057250603695
132,0.30708,39.80425,0.0,0.0,0.6,3.471,13.63671,0,0,121,55.52447,0.00042,0.0,1.193,-1.0,0.0,199.78539600495438
133,0.30982,39.63519,0.0,0.0,1.5,3.523,13.60391,0,0,121,55.49978,0.0004,0.0,1.244,-1.0,0.0,199.76798166291195
134,0.30117,39.7781,0.0,0.0,2.0,3.481,12.86464,0,0,122,55.48434,0.00045,0.0,1.306,-1.0,0.0,199.72040597961748
135,0.30195,39.34856,0.0,0.0,2.1,3.572,13.44923,0,0,121,55.45239,0.0004,0.0,1.369,-1.0,0.0,199.762541412105
136,0.30038,39.55202,0.0,0.0,2.0,3.502,13.20272,0,0,122,55.47948,0.00047,0.0,1.397,0.34635,0.0,199.7867397945447
137,0.29712,39.07899,0.0,0.0,3.4,3.602,12.66263,0,0,121,55.48298,0.00045,0.0,1.308,-1.0,0.0,199.80351747010644
138,0.30891,39.388,0.0,0.0,1.7,3.545,13.02469,0,0,121,55.51246,0.00038,0.0,1.275,-1.0,0.0,199.8053883969355
139,0.30124,39.34501,0.0,0.0,0.8,3.519,13.15947,0,0,122,55.54054,0.00036,0.0,1.201,-1.0,0.0,199.85864431402598
140,0.28929,39.12076,0.0,0.0,0.8,3.582,13.237,0,0,121,55.55213,0.00036,0.0,1.191,-1.0,0.0,199.91537037327782
141,0.29994,39.1703,0.0,0.0,0.2,3.518,12.41533,0,0,121,55.57447,0.0004,0.0,1.184,-1.0,0.0,199.89347267991954
142,0.29387,38.89501,0.0,0.0,0.8,3.621,12.92317,0,0,121,55.57302,0.00042,0.0,1.176,-1.0,0.0,199.82264961209503
143,0.29351,39.26241,0.0,0.0,2.2,3.572,12.875,0,0,121,55.59448,0.00047,0.0,1.126,-1.0,0.0,199.76003190530335
144,0.28784,39.00685,0.0,0.0,0.7,3.631,12.91416,0,0,121,55.59184,0.00045,0.0,1.124,0.36198,0.0,199.70854118972625
145,0.29716,39.04861,0.0,0.0,2.1,3.595,12.17908,0,0,121,55.5812,0.00049,0.0,1.115,-1.0,0.0,199.71882231678967
146,0.29906,38.78963,0.0,0.0,0.2,3.647,12.79769,0,0,121,55.58557,0.00052,0.0,1.124,-1.0,0.0,199.67493324590592
147,0.29958,39.03809,0.0,0.0,0.1,3.64,12.80536,0,0,121,55.57376,0.00047,0.0,1.121,-1.0,0.0,199.6064354245941
148,0.29693,38.64169,0.0,0.0,0.2,3.706,12.84514,0,0,121,55.57134,0.00036,0.0,1.093,-1.0,0.0,199.56826992852396
149,0.30499,38.50736,0.0,0.0,0.8,3.614,12.2781,0,0,122,55.58566,0.00042,0.0,1.092,-1.0,0.0,199.4355707499203
